,building_id,campus_id,nearest_hour,consumption
0,13,2.0,00:00,1.4312702401274608
1,13,2.0,01:00,1.2768658563672262
2,13,2.0,02:00,1.2398153244819456
3,13,2.0,03:00,1.1798992949907237
4,13,2.0,04:00,1.239667857142857
5,13,2.0,05:00,1.1248853184248906
6,13,2.0,06:00,1.072657833373816
7,13,2.0,07:00,1.0792869734126502
8,13,2.0,08:00,1.1817603360116873
9,13,2.0,09:00,1.3406956262880696
10,13,2.0,10:00,1.5852900708409503
11,13,2.0,11:00,1.6930517652453003
12,13,2.0,12:00,1.8124531924720009
13,13,2.0,13:00,1.8527956007568591
14,13,2.0,14:00,1.8252494795013492
15,13,2.0,15:00,1.8297232439335889
16,13,2.0,16:00,1.7995035514967022
17,13,2.0,17:00,1.7237728971962618
18,13,2.0,18:00,1.5012746366100025
19,13,2.0,19:00,1.3809526534488898
20,13,2.0,20:00,1.3269397423776883
21,13,2.0,21:00,1.3919265419111948
22,13,2.0,22:00,1.3923939955988685
23,13,2.0,23:00,1.434236162027608
24,14,2.0,00:00,1.543004783258595
25,14,2.0,01:00,1.5269067380266228
26,14,2.0,02:00,1.5413759356081451
27,14,2.0,03:00,1.5380911105032822
28,14,2.0,04:00,1.7250157079646018
29,14,2.0,05:00,1.715097579118204
30,14,2.0,06:00,1.7204450808625336
31,14,2.0,07:00,1.7235744643579032
32,14,2.0,08:00,1.708395447791436
33,14,2.0,09:00,1.6720187113857017
34,14,2.0,10:00,1.7113997113816035
35,14,2.0,11:00,1.713257614403601
36,14,2.0,12:00,1.7121271549576482
37,14,2.0,13:00,1.7186707977026163
38,14,2.0,14:00,1.860937159233888
39,14,2.0,15:00,1.867296050618829
40,14,2.0,16:00,1.862877438096556
41,14,2.0,17:00,1.8714481180201297
42,14,2.0,18:00,1.5590963360881542
43,14,2.0,19:00,1.5568100941769467
44,14,2.0,20:00,1.5331016337285903
45,14,2.0,21:00,1.5420968142023346
46,14,2.0,22:00,1.4849004217004786
47,14,2.0,23:00,1.5309293565518092
48,30,1.0,00:00,0.4329423391215525
49,30,1.0,01:00,0.3556763837638376
50,30,1.0,02:00,0.1632230873523145
51,30,1.0,03:00,0.151627265640226
52,30,1.0,04:00,0.1463384268340525
53,30,1.0,05:00,0.2017703791469194
54,30,1.0,06:00,0.5958966169154228
55,30,1.0,07:00,0.5549906450320513
56,30,1.0,08:00,0.5068974278421363
57,30,1.0,09:00,0.4663778326861983
58,30,1.0,10:00,0.4726394809688581
59,30,1.0,11:00,0.4653666036438638
60,30,1.0,12:00,0.4561839394466678
61,30,1.0,13:00,0.456574587517934
62,30,1.0,14:00,0.4744365462662337
63,30,1.0,15:00,0.5407339929181421
64,30,1.0,16:00,0.5599679741289381
65,30,1.0,17:00,0.5398453379478827
66,30,1.0,18:00,0.5186172763419483
67,30,1.0,19:00,0.511597764418561
68,30,1.0,20:00,0.4885187153931339
69,30,1.0,21:00,0.4683452704945237
70,30,1.0,22:00,0.3752797121420915
71,30,1.0,23:00,0.4169480453545439
72,39,1.0,00:00,2.3326581942987894
73,39,1.0,01:00,2.316713086698094
74,39,1.0,02:00,2.318399548022599
75,39,1.0,03:00,2.3118208673469387
76,39,1.0,04:00,2.309687797098467
77,39,1.0,05:00,2.2877821002143075
78,39,1.0,06:00,2.2537570540265035
79,39,1.0,07:00,2.422446726677578
80,39,1.0,08:00,2.417479629629629
81,39,1.0,09:00,2.4099682219419925
82,39,1.0,10:00,2.446187032394909
83,39,1.0,11:00,2.455144230030722
84,39,1.0,12:00,2.465339126687734
85,39,1.0,13:00,2.4651492346690067
86,39,1.0,14:00,2.4626657032149963
87,39,1.0,15:00,2.467079353363135
88,39,1.0,16:00,2.4531739125921312
89,39,1.0,17:00,2.4966618403387377
90,39,1.0,18:00,2.475368189368771
91,39,1.0,19:00,2.4235046876571773
92,39,1.0,20:00,2.333118783201363
93,39,1.0,21:00,2.3399920522949587
94,39,1.0,22:00,2.319444920791193
95,39,1.0,23:00,2.333410722079894
96,62,1.0,00:00,0.7171865630323679
97,62,1.0,01:00,0.7221504627374574
98,62,1.0,02:00,0.722308363461075
99,62,1.0,03:00,0.4679883157594756
100,62,1.0,04:00,0.362247494493392
101,62,1.0,05:00,0.2507397583892617
102,62,1.0,06:00,0.6425029451499595
103,62,1.0,07:00,0.613790679559495
104,62,1.0,08:00,0.625904848628193
105,62,1.0,09:00,0.7971671902834008
106,62,1.0,10:00,0.8481905836575875
107,62,1.0,11:00,0.859942099533437
108,62,1.0,12:00,0.8494287838472374
109,62,1.0,13:00,0.829757791177404
110,62,1.0,14:00,0.8475153724802805
111,62,1.0,15:00,0.8661903962623291
112,62,1.0,16:00,1.02043536
113,62,1.0,17:00,0.8494820554210385
114,62,1.0,18:00,0.6735301492537313
115,62,1.0,19:00,0.7705801344286781
116,62,1.0,20:00,0.7898676255485129
117,62,1.0,21:00,0.7893892255892256
118,62,1.0,22:00,0.6880752146323255
119,62,1.0,23:00,0.7049080775788577
